dataset,model,seed,mode,method,optimism,n_cert,n_cert_minority,test_per_class,cls,covered,U,delta,nominal
Abalone Gender,LDA,8,split,DKW Sum,0.010204081632653,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,LDA,8,split,DKW Minimax,0.010204081632653,294,27,764,0,1.0,0.5916117720654455,0.0269867433716858,0.9730132566283142
Abalone Gender,LDA,9,naive,CP Sum,0.0006544502617801,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,LDA,9,naive,CP Minimax,0.0006544502617801,840,76,764,0,1.0,0.5957104065535038,0.0094954977488744,0.9905045022511256
Abalone Gender,LDA,9,naive,DKW Sum,0.0006544502617801,840,76,764,0,1.0,0.0853528333689261,0.0059972486243121,0.9940027513756879
Abalone Gender,LDA,9,naive,DKW Minimax,0.0006544502617801,840,76,764,0,1.0,0.564638086729506,0.0139932466233116,0.9860067533766884
Abalone Gender,LDA,9,split,CP Sum,0.0013089005235602,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,LDA,9,split,CP Minimax,0.0013089005235602,294,27,764,0,1.0,0.6537076808529065,0.0199902451225612,0.9800097548774388
Abalone Gender,LDA,9,split,DKW Sum,0.0013089005235602,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,LDA,9,split,DKW Minimax,0.0013089005235602,294,27,764,0,1.0,0.6097205391769656,0.0284859929964982,0.9715140070035018
Abalone Gender,Linear,0,naive,CP Sum,0.0,840,76,764,0,1.0,0.0170551110583493,0.0014994997498749,0.998500500250125
Abalone Gender,Linear,0,naive,CP Minimax,0.0,840,76,764,0,1.0,0.559880768419465,0.0089957478739369,0.9910042521260631
Abalone Gender,Linear,0,naive,DKW Sum,0.0,840,76,764,0,1.0,0.3693424113025016,0.0094954977488744,0.9905045022511256
Abalone Gender,Linear,0,naive,DKW Minimax,0.0,840,76,764,0,1.0,0.5258278650516679,0.0129937468734367,0.9870062531265633
